707	2022-05-30 00:00:00.000000000	2023-05-29 00:00:00.000000000	12.0278	2023-05-29 00:00:00.000000000
707	2023-05-30 00:00:00.000000000	2024-05-28 00:00:00.000000000	13.8782	2024-05-28 00:00:00.000000000
707	2024-05-29 00:00:00.000000000		13.0863	2024-05-15 00:00:00.000000000
708	2022-05-30 00:00:00.000000000	2023-05-29 00:00:00.000000000	12.0278	2023-05-29 00:00:00.000000000
708	2023-05-30 00:00:00.000000000	2024-05-28 00:00:00.000000000	13.8782	2024-05-28 00:00:00.000000000
708	2024-05-29 00:00:00.000000000		13.0863	2024-05-15 00:00:00.000000000
709	2022-05-30 00:00:00.000000000	2023-05-29 00:00:00.000000000	3.3963	2023-05-29 00:00:00.000000000
710	2022-05-30 00:00:00.000000000	2023-05-29 00:00:00.000000000	3.3963	2023-05-29 00:00:00.000000000
711	2022-05-30 00:00:00.000000000	2023-05-29 00:00:00.000000000	12.0278	2023-05-29 00:00:00.000000000
711	2023-05-30 00:00:00.000000000	2024-05-28 00:00:00.000000000	13.8782	2024-05-28 00:00:00.000000000
711	2024-05-29 00:00:00.000000000		13.0863	2024-05-15 00:00:00.000000000
712	2022-05-30 00:00:00.000000000	2023-05-29 00:00:00.000000000	5.7052	2023-05-29 00:00:00.000000000
712	2023-05-30 00:00:00.000000000	2024-05-28 00:00:00.000000000	5.2297	2024-05-28 00:00:00.000000000
712	2024-05-29 00:00:00.000000000		6.9223	2024-05-15 00:00:00.000000000
713	2022-05-30 00:00:00.000000000	2023-05-29 00:00:00.000000000	31.7244	2023-05-29 00:00:00.000000000
713	2023-05-30 00:00:00.000000000	2024-05-28 00:00:00.000000000	29.0807	2024-05-28 00:00:00.000000000
713	2024-05-29 00:00:00.000000000		38.4923	2024-05-15 00:00:00.000000000
714	2022-05-30 00:00:00.000000000	2023-05-29 00:00:00.000000000	31.7244	2023-05-29 00:00:00.000000000
714	2023-05-30 00:00:00.000000000	2024-05-28 00:00:00.000000000	29.0807	2024-05-28 00:00:00.000000000
714	2024-05-29 00:00:00.000000000		38.4923	2024-05-15 00:00:00.000000000
715	2022-05-30 00:00:00.000000000	2023-05-29 00:00:00.000000000	31.7244	2023-05-29 00:00:00.000000000
715	2023-05-30 00:00:00.000000000	2024-05-28 00:00:00.000000000	29.0807	2024-05-28 00:00:00.000000000
715	2024-05-29 00:00:00.000000000		38.4923	2024-05-15 00:00:00.000000000
716	2022-05-30 00:00:00.000000000	2023-05-29 00:00:00.000000000	31.7244	2023-05-29 00:00:00.000000000
716	2023-05-30 00:00:00.000000000	2024-05-28 00:00:00.000000000	29.0807	2024-05-28 00:00:00.000000000
716	2024-05-29 00:00:00.000000000		38.4923	2024-05-15 00:00:00.000000000
717	2022-05-30 00:00:00.000000000	2023-05-29 00:00:00.000000000	747.9682	2023-05-29 00:00:00.000000000
717	2023-05-30 00:00:00.000000000	2024-05-28 00:00:00.000000000	722.2568	2024-05-28 00:00:00.000000000
717	2024-05-29 00:00:00.000000000		868.6342	2024-05-15 00:00:00.000000000
718	2022-05-30 00:00:00.000000000	2023-05-29 00:00:00.000000000	747.9682	2023-05-29 00:00:00.000000000
718	2023-05-30 00:00:00.000000000	2024-05-28 00:00:00.000000000	722.2568	2024-05-28 00:00:00.000000000
718	2024-05-29 00:00:00.000000000		868.6342	2024-05-15 00:00:00.000000000
719	2022-05-30 00:00:00.000000000	2023-05-29 00:00:00.000000000	747.9682	2023-05-29 00:00:00.000000000
719	2023-05-30 00:00:00.000000000	2024-05-28 00:00:00.000000000	722.2568	2024-05-28 00:00:00.000000000
719	2024-05-29 00:00:00.000000000		868.6342	2024-05-15 00:00:00.000000000
720	2022-05-30 00:00:00.000000000	2023-05-29 00:00:00.000000000	747.9682	2023-05-29 00:00:00.000000000
720	2023-05-30 00:00:00.000000000	2024-05-28 00:00:00.000000000	722.2568	2024-05-28 00:00:00.000000000
720	2024-05-29 00:00:00.000000000		868.6342	2024-05-15 00:00:00.000000000
721	2022-05-30 00:00:00.000000000	2023-05-29 00:00:00.000000000	747.9682	2023-05-29 00:00:00.000000000
721	2023-05-30 00:00:00.000000000	2024-05-28 00:00:00.000000000	722.2568	2024-05-28 00:00:00.000000000
721	2024-05-29 00:00:00.000000000		868.6342	2024-05-15 00:00:00.000000000
722	2022-05-30 00:00:00.000000000	2023-05-29 00:00:00.000000000	176.1997	2023-05-29 00:00:00.000000000
